"","ProbQuant","TempQuant","Site"
"1...1",0.70090748796576,62.4,"Treasure Island"
"2...2",0.5292152467254,63.1,"Treasure Island"
"3...3",0.304167932083919,64,"Treasure Island"
"1...4",0.861057156293519,62.4,"Shaws Cove"
"2...5",0.5121810813467,63.1,"Shaws Cove"
"3...6",0.0967492841319098,64,"Shaws Cove"
"1...7",0.504576828676703,62.4,"Dana Point"
"2...8",0.399791487841025,63.1,"Dana Point"
"3...9",0.278422101645013,64,"Dana Point"
"1...10",0.774116059018819,62.4,"Crystal Cove"
"2...11",0.671711327315149,63.1,"Crystal Cove"
"3...12",0.513199124822174,64,"Crystal Cove"
