"","Site","LOECLambdaMort","LOECLambdaRepr","LOECLambdaMortRep","NOECLambda","differenceRepr","differenceMort","differenceMortRepr","bothEffects"
"1","Crystal Cove",0.176263848830103,0.190863671830854,0.166768709951379,0.237943311271239,0.197860739135119,0.259219148088704,0.299124194496587,0.457079887223823
"2","Dana Point",0.435873757999354,0.589506311096599,0.432529620892653,0.603412767441092,0.0230463409043637,0.277652410558406,0.283194449585658,0.30069875146277
"3","Old Stairs",0.432131578054947,0.584036972827042,0.428736252385998,0.59817144819151,0.023629471796425,0.277579063057192,0.283255237804774,0.301208534853617
"4","Paradise Cove",0.432131578054947,0.584036972827042,0.428736252385998,0.59817144819151,0.023629471796425,0.277579063057192,0.283255237804774,0.301208534853617
"5","Point Fermin",0.439662448025151,0.595037526612826,0.436369077521416,0.608718441107902,0.0224749466603573,0.277724448063475,0.28313478276229,0.300199394723832
"6","Shaws Cove",0.428435510531031,0.578628989001734,0.424988584217572,0.592993938415271,0.0242244456189995,0.277504401350222,0.283317152695827,0.301728846969221
"7","Treasure Island",0.447380959608391,0.606287707642511,0.444187819324977,0.619525048060188,0.0213669172200943,0.277864614176299,0.283018788803155,0.299231531396393
"8","White Point",0.432131578054947,0.584036972827042,0.428736252385998,0.59817144819151,0.023629471796425,0.277579063057192,0.283255237804774,0.301208534853617
"9","Alegria",0.0458843303201217,0.0556196582465663,0.0457526365165086,0.0561546032874412,0.00952629009124424,0.182892806040292,0.185238006538619,0.192419096131536
"10","Arroyo Hondo",0.435873757999354,0.589506311096599,0.432529620892653,0.603412767441092,0.0230463409043637,0.277652410558406,0.283194449585658,0.30069875146277
"11","Carpinteria",0.424785159774473,0.573281842099165,0.421286231089667,0.587879696316028,0.0248313631315064,0.277428422113561,0.283380198823545,0.302259785245067
"12","Coal Oil Point",0.428435510531031,0.578628989001734,0.424988584217572,0.592993938415271,0.0242244456189995,0.277504401350222,0.283317152695827,0.301728846969221
"13","Mussel Shoals",0.432131578054947,0.584036972827042,0.428736252385998,0.59817144819151,0.023629471796425,0.277579063057192,0.283255237804774,0.301208534853617
"14","Government Point",0.432131578054947,0.584036972827042,0.428736252385998,0.59817144819151,0.023629471796425,0.277579063057192,0.283255237804774,0.301208534853617
