"","Site","MPImpact","MPConc","Mortality","Growth","Reproduction","Development"
"1","Treasure Island","Mean","up to 69",0.986626847763861,0.939753822235033,1.00396279230747,0.976364571805864
"2","Treasure Island","CI.High","up to 69",0.931844519102346,0.858793908993206,0.973988825157006,0.941007358217658
"3","Treasure Island","CI.Low","up to 69",1.02309776536686,1.00793505813496,1.02309776536686,1.01014783124034
"4","Treasure Island","Mean","70-358",0.962875062603803,0.859243314737867,0.964224929489808,0.900300660943923
"5","Treasure Island","CI.High","70-358",0.874478975028312,0.761252218755743,0.921728489125289,0.863172788487315
"6","Treasure Island","CI.Low","70-358",1.02202484717697,0.957500633205036,1.00443216132364,0.935513293696853
"7","Treasure Island","Mean",">358",0.937182789320558,0.796867843241738,0.922252565276115,0.877620013540713
"8","Treasure Island","CI.High",">358",0.900016218579322,0.727742270582874,0.872370006062722,0.829143077956892
"9","Treasure Island","CI.Low",">358",0.973789801729365,0.866607934506593,0.968834037579127,0.922776252432846
"10","Crystal Cove","Mean","up to 69",0.149689209235675,0.144468836796287,0.15239975827599,0.149008647972326
"11","Crystal Cove","CI.High","up to 69",0.141492044831214,0.134214107574543,0.148715409273697,0.144621572958435
"12","Crystal Cove","CI.Low","up to 69",0.154735079923473,0.152886808537414,0.154735079923473,0.153155989075392
"13","Crystal Cove","Mean","70-358",0.144980652130803,0.134271472254062,0.147507970870431,0.139505275792949
"14","Crystal Cove","CI.High","70-358",0.131936842894307,0.121368055572125,0.142207689515767,0.134770128781388
"15","Crystal Cove","CI.Low","70-358",0.154480637407686,0.146675991757083,0.152457193937171,0.14393529776507
"16","Crystal Cove","Mean",">358",0.141253590601001,0.126134084012544,0.142273522817482,0.136621002480603
"17","Crystal Cove","CI.High",">358",0.134867206204242,0.116796934376425,0.135949675793052,0.130364962657506
"18","Crystal Cove","CI.Low",">358",0.147547512825327,0.135216636392517,0.148078409876796,0.142339295065185
"19","Shaws Cove","Mean","up to 69",0.951181521529105,0.905630534887427,0.967878875715588,0.941121804528618
"20","Shaws Cove","CI.High","up to 69",0.898346639630607,0.827161448272569,0.93881855591921,0.906845172726451
"21","Shaws Cove","CI.Low","up to 69",0.986431677629063,0.971730501016785,0.986431677629063,0.973875650832107
"22","Shaws Cove","Mean","70-358",0.928485441736396,0.827596921649549,0.929352772823726,0.867387471126742
"23","Shaws Cove","CI.High","70-358",0.843199296226346,0.732666609303039,0.888157110762163,0.831404439613765
"24","Shaws Cove","CI.Low","70-358",0.985414104084405,0.922834215407189,0.968333954788196,0.901519351387513
"25","Shaws Cove","Mean",">358",0.903685543556386,0.767162085370501,0.888665109923553,0.84540546289762
"26","Shaws Cove","CI.High",">358",0.867988223852136,0.700221300740156,0.840317489655107,0.79842991010516
"27","Shaws Cove","CI.Low",">358",0.938841751082781,0.834733777794955,0.933821122818017,0.889172732976103
